year,crop,rep,wincrop,farm,lem_rate,yield_kg_m2
2024,carrot,4,Carrots,hort,1.8,0.874568098
2024,carrot,4,Carrots,hort,3.6,0.807293629
2024,carrot,4,Carrots,hort,0,0.228733195
2024,carrot,1,Carrots,paul,1.8,0.242188089
2024,carrot,1,Carrots,paul,0,0.403646814
2024,carrot,1,Carrots,paul,3.6,0.74001916
2024,carrot,2,Carrots,paul,0,0.161458726
2024,carrot,2,Carrots,paul,3.6,1.345489381
2024,carrot,2,Carrots,paul,1.8,0.45746639
2024,carrot,3,Carrots,paul,1.8,0.618925115
2024,carrot,3,Carrots,paul,0,0.349827239
2024,carrot,3,Carrots,paul,3.6,0.605470222
2024,carrot,4,Carrots,paul,1.8,0.511285965
2024,carrot,4,Carrots,paul,3.6,0.820748523
2024,carrot,4,Carrots,paul,0,0.363282133
2024,carrot,1,Carrots,bcbf,1.8,0.242188089
2024,carrot,1,Carrots,bcbf,0,0.269097876
2024,carrot,1,Carrots,bcbf,3.6,0.296007664
2024,carrot,2,Carrots,bcbf,0,0.034444528
2024,carrot,2,Carrots,bcbf,3.6,0.834203416
2024,carrot,2,Carrots,bcbf,1.8,0.914932779
2024,carrot,3,Carrots,bcbf,1.8,0.269097876
2024,carrot,3,Carrots,bcbf,0,0.269097876
2024,carrot,3,Carrots,bcbf,3.6,1.103301293
2024,carrot,4,Carrots,bcbf,1.8,0.215278301
2024,carrot,4,Carrots,bcbf,3.6,0.134548938
2024,carrot,4,Carrots,bcbf,0,0.403646814
2024,kale,1,Kale,hort,3.6,18.21617709
2024,kale,1,Kale,hort,1.8,19.75891521
2024,kale,1,Kale,hort,0,14.95269259
2024,kale,2,Kale,hort,1.8,21.12364509
2024,kale,2,Kale,hort,3.6,15.01202868
2024,kale,2,Kale,hort,0,26.58256461
2024,kale,3,Kale,hort,3.6,5.636927763
2024,kale,3,Kale,hort,1.8,11.98588851
2024,kale,3,Kale,hort,0,11.09584728
2024,kale,4,Kale,hort,0,8.781740095
2024,kale,4,Kale,hort,3.6,7.060993725
2024,kale,4,Kale,hort,1.8,5.755599927
2024,kale,1,Clover,paul,1.8,0.177604598
2024,kale,1,Kale,paul,3.6,16.28775443
2024,kale,1,Kale,paul,1.8,12.93526581
2024,kale,1,Kale,paul,0,6.734645275
2024,kale,2,Kale,paul,1.8,16.4064266
2024,kale,2,Kale,paul,3.6,17.94916472
2024,kale,2,Kale,paul,0,13.49895859
2024,kale,3,Kale,paul,3.6,1.72074637
2024,kale,3,Kale,paul,1.8,11.15518336
2024,kale,3,Kale,paul,0,8.336719482
2024,kale,4,Kale,paul,0,10.32447822
2024,kale,4,Kale,paul,3.6,10.11680193
2024,kale,4,Kale,paul,1.8,5.755599927
2024,kale,1,Clover,bcbf,3.6,0.290625706
2024,kale,1,Kale,bcbf,3.6,5.340247355
2024,kale,1,Kale,bcbf,1.8,5.636927763
2024,kale,1,Kale,bcbf,0,2.432779351
2024,kale,2,Kale,bcbf,1.8,13.29128231
2024,kale,2,Kale,bcbf,3.6,9.731117402
2024,kale,2,Kale,bcbf,0,10.14646997
2024,kale,3,Kale,bcbf,3.6,3.975517475
2024,kale,3,Kale,bcbf,1.8,9.375100912
2024,kale,3,Kale,bcbf,0,8.841076176
2024,kale,4,Kale,bcbf,0,4.806222619
2024,kale,4,Kale,bcbf,3.6,6.467632907
2024,kale,4,Kale,bcbf,1.8,5.043566946
2025,carrot,1,Carrots,hort,1.8,4.009558357
2025,carrot,1,Carrots,hort,0,3.336813666
2025,carrot,1,Carrots,hort,3.6,6.391074562
2025,carrot,2,Carrots,hort,0,0.484376177
2025,carrot,2,Carrots,hort,3.6,3.794280056
2025,carrot,2,Carrots,hort,1.8,2.260422161
2025,carrot,3,Carrots,hort,1.8,1.076391505
2025,carrot,3,Carrots,hort,0,1.829865559
2025,carrot,3,Carrots,hort,3.6,1.87023024
2025,carrot,4,Carrots,hort,1.8,2.260422161
2025,carrot,4,Carrots,hort,3.6,2.502610249
2025,carrot,4,Carrots,hort,0,1.897140028
2025,carrot,1,Carrots,paul,1.8,2.933166851
2025,carrot,1,Carrots,paul,0,2.771708126
2025,carrot,1,Carrots,paul,3.6,3.794280056
2025,carrot,2,Carrots,paul,0,1.937504709
2025,carrot,2,Carrots,paul,3.6,2.529520037
2025,carrot,2,Carrots,paul,1.8,2.542974931
2025,carrot,3,Carrots,paul,1.8,2.973531533
2025,carrot,3,Carrots,paul,0,2.32769663
2025,carrot,3,Carrots,paul,3.6,1.358944275
2025,carrot,4,Carrots,paul,1.8,2.502610249
2025,carrot,4,Carrots,paul,3.6,2.004779178
2025,carrot,4,Carrots,paul,0,0.578560434
2025,carrot,1,Carrots,bcbf,1.8,1.076391505
2025,carrot,1,Carrots,bcbf,0,0.56510554
2025,carrot,1,Carrots,bcbf,3.6,1.103301293
2025,carrot,2,Carrots,bcbf,0,0.645834903
2025,carrot,2,Carrots,bcbf,3.6,0.941842567
2025,carrot,2,Carrots,bcbf,1.8,1.318579594
2025,carrot,3,Carrots,bcbf,1.8,1.291669806
2025,carrot,3,Carrots,bcbf,0,1.802955771
2025,carrot,3,Carrots,bcbf,3.6,1.049481717
2025,carrot,4,Carrots,bcbf,1.8,0.753474054
2025,carrot,4,Carrots,bcbf,3.6,1.614587258
2025,carrot,4,Carrots,bcbf,0,0.672744691
2025,kale,1,Kale,hort,3.6,3.888464312
2025,kale,1,Kale,hort,1.8,3.753915374
2025,kale,1,Kale,hort,0,2.233512373
2025,kale,2,Kale,hort,1.8,3.875009418
2025,kale,2,Kale,hort,3.6,3.040806002
2025,kale,2,Kale,hort,0,5.718329871
2025,kale,3,Kale,hort,3.6,1.829865559
2025,kale,3,Kale,hort,1.8,1.910594922
2025,kale,3,Kale,hort,0,2.529520037
2025,kale,4,Kale,hort,0,2.529520037
2025,kale,4,Kale,hort,3.6,1.937504709
2025,kale,4,Kale,hort,1.8,2.031688966
2025,kale,1,Kale,paul,3.6,4.789942198
2025,kale,1,Kale,paul,1.8,3.498272392
2025,kale,1,Kale,paul,0,3.054260896
2025,kale,2,Kale,paul,1.8,3.901919206
2025,kale,2,Kale,paul,3.6,4.520844321
2025,kale,2,Kale,paul,0,6.24307073
2025,kale,3,Kale,paul,3.6,3.996103463
2025,kale,3,Kale,paul,1.8,3.336813666
2025,kale,3,Kale,paul,0,3.592456648
2025,kale,4,Kale,paul,0,3.45790771
2025,kale,4,Kale,paul,3.6,3.121535365
2025,kale,4,Kale,paul,1.8,2.623704294
2025,kale,1,Kale,bcbf,3.6,1.184030656
2025,kale,1,Kale,bcbf,1.8,0.834203416
2025,kale,1,Kale,bcbf,0,0.861113204
2025,kale,2,Kale,bcbf,1.8,1.802955771
2025,kale,2,Kale,bcbf,3.6,1.58767747
2025,kale,2,Kale,bcbf,0,1.453128532
2025,kale,3,Kale,bcbf,3.6,0.56510554
2025,kale,3,Kale,bcbf,1.8,1.399308957
2025,kale,3,Kale,bcbf,0,1.614587258
2025,kale,4,Kale,bcbf,0,0.56510554
2025,kale,4,Kale,bcbf,3.6,1.103301293
2025,kale,4,Kale,bcbf,1.8,0.592015328
